16384,1,1,50.9027
16384,4,1,14.7146
16384,32,1,1.8824
16384,64,1,1.00269
16384,256,1,0.673888
16384,512,1,0.6776
16384,1,2,28.6583
16384,4,2,10.2727
16384,32,2,0.9728
16384,64,2,0.464896
16384,256,2,0.413696
16384,512,2,0.39264
16384,1,4,17.1703
16384,4,4,3.01686
16384,32,4,0.443552
16384,64,4,0.239616
16384,256,4,0.215328
16384,512,4,0.202752
16384,1,8,5.97747
16384,4,8,1.5352
16384,32,8,0.254464
16384,64,8,0.168704
16384,256,8,0.108544
16384,512,8,0.139264
16384,1,16,4.00355
16384,4,16,0.786432
16384,32,16,0.1392
16384,64,16,0.097824
16384,256,16,0.084
16384,512,16,0.070848
65536,1,1,148.887
65536,4,1,56.9535
65536,32,1,7.14384
65536,64,1,2.83034
65536,256,1,2.68902
65536,512,1,1.86557
65536,1,2,81.5273
65536,4,2,20.1626
65536,32,2,2.62451
65536,64,2,1.21037
65536,256,2,0.961728
65536,512,2,0.955424
65536,1,4,40.1797
65536,4,4,9.23226
65536,32,4,1.34518
65536,64,4,0.623968
65536,256,4,0.502496
65536,512,4,0.49152
65536,1,8,20.5279
65536,4,8,4.21888
65536,32,8,1.71766
65536,64,8,0.343872
65536,256,8,0.251264
65536,512,8,0.259328
65536,1,16,9.20029
65536,4,16,2.12138
65536,32,16,0.319488
65536,64,16,0.229216
65536,256,16,0.139808
65536,512,16,0.174208
Размер массивов, размер блока, количество блоков, время (мс)
